NZ_KK322619 GCF_000655555
NZ_KK327738 GCF_000659065
NZ_KK327749 GCF_000659085
NZ_KK327809 GCF_000659565
NZ_KK327840 GCF_000659885
NZ_KK327845 GCF_000659905
NZ_KK327850 GCF_000659925
NZ_KK328023 GCF_000660525
NZ_KK328041 GCF_000660585
NZ_KK328092 GCF_000660705
NZ_KK328105 GCF_000660765
NZ_KK328164 GCF_000660825
NZ_KK328184 GCF_000660885
NZ_KK328270 GCF_000661065
NZ_KK328288 GCF_000661125
NZ_KK328316 GCF_000661205
NZ_KK328322 GCF_000661225
NZ_KK328327 GCF_000661265
NZ_KK328356 GCF_000661365
NZ_KK339153 GCF_000667185
NZ_KK339190 GCF_000667225
NZ_KK339262 GCF_000667405
NZ_KK339334 GCF_000667685
NZ_KK357606 GCF_000679955
NZ_KK357663 GCF_000680115
