NC_016934 GCF_000304555
NZ_HG813240 GCF_000786505
NZ_JJSJ01000001 GCF_000711645
NZ_JLKL01000001 GCF_000658135
NZ_JLYL01000001 GCF_000657835
NZ_KK327813 GCF_000659585
NZ_KK327817 GCF_000659605
NZ_KK327818 GCF_000659625
NZ_KK327819 GCF_000659645
NZ_KK327821 GCF_000659685
NZ_KK327822 GCF_000659705
NZ_KK327824 GCF_000659745
NZ_KK327833 GCF_000659805
NZ_KK327838 GCF_000659845
NZ_KK327839 GCF_000659865
NZ_KK327850 GCF_000659925
NZ_KK327855 GCF_000659965
NZ_KK327940 GCF_000660245
NZ_KK327964 GCF_000660365
NZ_KK328023 GCF_000660525
NZ_KK328030 GCF_000660545
NZ_KK328055 GCF_000660625
NZ_KK328092 GCF_000660705
NZ_KK328103 GCF_000660745
NZ_KK328107 GCF_000660785
NZ_KK328164 GCF_000660825
NZ_KK328183 GCF_000660865
NZ_KK328184 GCF_000660885
NZ_KK328260 GCF_000661025
NZ_KK328316 GCF_000661205
NZ_KK328322 GCF_000661225
NZ_KK328327 GCF_000661265
NZ_KK328332 GCF_000661285
NZ_KK328356 GCF_000661365
NZ_KK328370 GCF_000661405
NZ_KK328378 GCF_000661445
NZ_KK328379 GCF_000661465
NZ_KK328380 GCF_000661485
NZ_KK328381 GCF_000661505
NZ_KK328406 GCF_000661655
