#BGC Name	Family Number
BGC0000363.1	330
BGC0000364.1	330
BGC0000365.1	330
BGC0001027.1	722
NZ_KE695658.1.cluster048	2398
NZ_KK315511.1.cluster037	3455
BGC0001627.1	7352
NC_000962.3.cluster001	7352
NC_016934.1.cluster001	7352
NC_020089.1.cluster001	7352
NC_021054.1.cluster001	7352
NC_021194.1.cluster001	7352
NC_021740.1.cluster001	7352
NZ_AJGL01000001.cluster024	7352
NZ_AJGM01000001.cluster024	7352
NZ_AJGO01000001.cluster013	7352
NZ_AMXW02000001.cluster040	7352
NZ_AOMG02000197.cluster048	7352
NZ_APHO01000001.cluster008	7352
NZ_CM002048.1.cluster001	7352
NZ_CM002049.1.cluster001	7352
NZ_CM002050.1.cluster001	7352
NZ_CM002051.1.cluster001	7352
NZ_JJTJ01000001.cluster005	7352
NZ_JJTQ01000001.cluster005	7352
NZ_JJUC01000001.cluster049	7352
NZ_JJUG01000001.cluster001	7352
NZ_JJUK01000001.cluster008	7352
NZ_JJUM01000001.cluster008	7352
NZ_JJUV01000001.cluster007	7352
NZ_JJWB01000001.cluster002	7352
NZ_JJWK01000001.cluster006	7352
NZ_JJXD01000001.cluster010	7352
NZ_JJXY01000001.cluster034	7352
NZ_JKBC01000001.cluster009	7352
NZ_JKBI01000001.cluster030	7352
NZ_JKBO01000001.cluster001	7352
NZ_JKBP01000001.cluster001	7352
NZ_JKBR01000001.cluster016	7352
NZ_JKBV01000001.cluster001	7352
NZ_JKHL01000001.cluster007	7352
NZ_JKJU01000001.cluster007	7352
NZ_JKPJ01000001.cluster007	7352
NZ_JKPK01000001.cluster009	7352
NZ_JKVL01000001.cluster017	7352
NZ_JLGF01000001.cluster041	7352
NZ_JLGR01000001.cluster004	7352
NZ_JLGS01000001.cluster001	7352
NZ_JLMR01000001.cluster003	7352
NZ_JLMS01000001.cluster008	7352
NZ_JLMY01000001.cluster011	7352
NZ_JLNH01000001.cluster009	7352
NZ_JLNQ01000001.cluster006	7352
NZ_JLOY01000001.cluster006	7352
NZ_JLPO01000001.cluster001	7352
NZ_JLPY01000001.cluster043	7352
NZ_JLYL01000001.cluster006	7352
NZ_KB822846.1.cluster005	7352
NZ_KE695658.1.cluster001	7352
NZ_KE695770.1.cluster019	7352
NZ_KK306679.1.cluster029	7352
NZ_KK306755.1.cluster039	7352
NZ_KK306863.1.cluster001	7352
NZ_KK306982.1.cluster039	7352
NZ_KK307105.1.cluster003	7352
NZ_KK307203.1.cluster001	7352
NZ_KK307205.1.cluster001	7352
NZ_KK307318.1.cluster003	7352
NZ_KK307500.1.cluster037	7352
NZ_KK307622.1.cluster001	7352
NZ_KK307707.1.cluster007	7352
NZ_KK307805.1.cluster006	7352
NZ_KK307889.1.cluster003	7352
NZ_KK307972.1.cluster003	7352
NZ_KK308057.1.cluster007	7352
NZ_KK308160.1.cluster011	7352
NZ_KK308240.1.cluster043	7352
NZ_KK308332.1.cluster006	7352
NZ_KK308424.1.cluster007	7352
NZ_KK308512.1.cluster001	7352
NZ_KK308598.1.cluster042	7352
NZ_KK309379.1.cluster002	7352
NZ_KK309868.1.cluster006	7352
NZ_KK310142.1.cluster006	7352
NZ_KK310324.1.cluster040	7352
NZ_KK310422.1.cluster042	7352
NZ_KK310514.1.cluster038	7352
NZ_KK310637.1.cluster007	7352
NZ_KK310720.1.cluster042	7352
NZ_KK311160.1.cluster001	7352
NZ_KK311243.1.cluster001	7352
NZ_KK311512.1.cluster041	7352
NZ_KK311615.1.cluster039	7352
NZ_KK311727.1.cluster006	7352
NZ_KK311824.1.cluster018	7352
NZ_KK311918.1.cluster001	7352
NZ_KK311992.1.cluster042	7352
NZ_KK312180.1.cluster036	7352
NZ_KK312294.1.cluster006	7352
NZ_KK312475.1.cluster006	7352
NZ_KK312571.1.cluster006	7352
NZ_KK312667.1.cluster004	7352
NZ_KK312829.1.cluster006	7352
NZ_KK313008.1.cluster006	7352
NZ_KK313114.1.cluster006	7352
NZ_KK313195.1.cluster002	7352
NZ_KK313366.1.cluster006	7352
NZ_KK314040.1.cluster040	7352
NZ_KK314307.1.cluster001	7352
NZ_KK314402.1.cluster007	7352
NZ_KK314663.1.cluster008	7352
NZ_KK314761.1.cluster001	7352
NZ_KK315222.1.cluster004	7352
NZ_KK315314.1.cluster001	7352
NZ_KK315511.1.cluster002	7352
NZ_KK315806.1.cluster001	7352
NZ_KK315905.1.cluster006	7352
NZ_KK315990.1.cluster001	7352
NZ_KK316088.1.cluster008	7352
NZ_KK316184.1.cluster006	7352
NZ_KK316371.1.cluster006	7352
NZ_KK316576.1.cluster001	7352
NZ_KK316582.1.cluster001	7352
NZ_KK316590.1.cluster001	7352
NZ_KK316595.1.cluster001	7352
NZ_KK316601.1.cluster001	7352
NZ_KK316609.1.cluster001	7352
NZ_KK316614.1.cluster001	7352
NZ_KK316618.1.cluster001	7352
NZ_KK316624.1.cluster001	7352
NZ_KK316633.1.cluster001	7352
NZ_KK316642.1.cluster001	7352
