NZ_HG813240 GCF_000786505
NZ_JJSJ01000001 GCF_000711645
NZ_KK322473 GCF_000655115
NZ_KK322493 GCF_000655175
NZ_KK322552 GCF_000655375
NZ_KK322616 GCF_000655535
NZ_KK322657 GCF_000655735
NZ_KK322672 GCF_000655815
NZ_KK322699 GCF_000655875
NZ_KK322782 GCF_000656075
NZ_KK322791 GCF_000656115
NZ_KK322823 GCF_000656195
NZ_KK325267 GCF_000657135
NZ_KK325287 GCF_000657155
NZ_KK325375 GCF_000657175
NZ_KK325459 GCF_000657195
NZ_KK325522 GCF_000657215
NZ_KK325612 GCF_000657235
NZ_KK325778 GCF_000657255
NZ_KK326006 GCF_000657315
NZ_KK326313 GCF_000657375
NZ_KK326402 GCF_000657395
NZ_KK326486 GCF_000657415
NZ_KK326736 GCF_000657435
NZ_KK326889 GCF_000657475
NZ_KK326972 GCF_000657495
NZ_KK327053 GCF_000657515
NZ_KK327301 GCF_000657575
NZ_KK327460 GCF_000657615
NZ_KK327524 GCF_000657655
NZ_KK327611 GCF_000657675
NZ_KK327738 GCF_000659065
NZ_KK327749 GCF_000659085
NZ_KK327780 GCF_000659305
NZ_KK327785 GCF_000659325
NZ_KK327800 GCF_000659485
NZ_KK327802 GCF_000659505
NZ_KK327824 GCF_000659745
NZ_KK327858 GCF_000659985
NZ_KK327941 GCF_000660265
NZ_KK327958 GCF_000660325
NZ_KK327987 GCF_000660465
NZ_KK328243 GCF_000660985
NZ_KK328250 GCF_000661005
NZ_KK328332 GCF_000661285
NZ_KK328348 GCF_000661345
NZ_KK357601 GCF_000679935
NZ_KK357611 GCF_000679975
NZ_KK357641 GCF_000680035
NZ_KK357655 GCF_000680095
NZ_KK357668 GCF_000680135
NZ_KK357738 GCF_000680195
NZ_KK357765 GCF_000680335
NZ_KK357767 GCF_000680355
NZ_KK357780 GCF_000680415
NZ_KK357787 GCF_000680435
NZ_KK357835 GCF_000680635
NZ_KK357864 GCF_000680735
NZ_KK357899 GCF_000680975
NZ_KK357964 GCF_000681235
